accession	length	genome_region	host	country	isolation	collection_date	release_date	name
KJ650295	30100	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Camelus dromedarius	Saudi Arabia		2013/12/30	2014/04/22	Middle East respiratory syndrome coronavirus isolate KFU-HKU 13, complete genome
KJ650296	30099	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Camelus dromedarius	Saudi Arabia		2013/12/30	2014/04/22	Middle East respiratory syndrome coronavirus isolate KFU-HKU 19Dam, complete genome
KX960122	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-12 ORF1AB (orf1ab) gene, partial cds
KX960123	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-21 ORF1AB (orf1ab) gene, partial cds
KX960124	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-24 ORF1AB (orf1ab) gene, partial cds
KX960119	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-4 ORF1AB (orf1ab) gene, partial cds
KX960120	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-6 ORF1AB (orf1ab) gene, partial cds
KX960121	269	orf1a-orf1ab	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/08/01	2016/11/05	Middle East respiratory syndrome coronavirus isolate KSA Riyadh-9 ORF1AB (orf1ab) gene, partial cds
KJ713298	30083	orf1a-orf1ab-S-orf3-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/05/04	Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-363, complete genome
KJ713299	30116	orf1a-orf1ab-S-orf3-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/05/04	Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-376, complete genome
KJ713296	30113	orf1a-orf1ab-S-orf3-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/05/04	Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-378, complete genome
KJ713297	30114	orf1a-orf1ab-S-orf3-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/05/04	Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-503, complete genome
KJ713295	30113	orf1a-orf1ab-S-orf3-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/05/04	Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-505, complete genome
KT877351	30010	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2014/09	2016/09/30	Middle East respiratory syndrome coronavirus isolate KSA_1724, complete genome
KT877350	30121	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus dromedarius	Saudi Arabia	oronasopharynx	2014/09	2016/09/30	Middle East respiratory syndrome coronavirus isolate KSA_1725, complete genome
KF917527	29851	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2013/11/08	2014/05/01	Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-Camel-1, complete genome
KF958702	29851	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/11/05	2014/05/01	Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-human-1, complete genome
KJ156935	6071	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/09/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Madinah_1a_2013 ORF1a gene, partial cds
KJ156904	871	S	Homo sapiens	Saudi Arabia		2013/09/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Madinah_1b_2013 S protein gene, partial cds
KJ156917	2033	M-N	Homo sapiens	Saudi Arabia		2013/09/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Madinah_1c_2013 M protein gene, partial cds; N protein gene, complete cds; and ORF8b-like gene, complete sequence
KJ156950	2077	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/09/11	2014/02/06	Middle East respiratory syndrome coronavirus isolate Madinah_3a_2013 ORF1a gene, partial cds
KJ156916	27973	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2013/09/11	2014/02/06	Middle East respiratory syndrome coronavirus isolate Madinah_3b_2013, partial genome
KM027261	29809	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/15	2014/11/12	Middle East respiratory syndrome coronavirus isolate Makkah_C9355/KSA/Makkah/2014-04-15, complete genome
KJ156891	19165	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_10a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156936	5893	orf1ab-S	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_10b_2013 ORF1ab gene, partial cds; and S protein gene, complete cds
KJ156907	3374	orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2013/08/05	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_10c_2013 ORF4a, ORF4b, ORF5, E protein, and M protein genes, complete cds; N protein gene, partial cds; and ORF8b-like gene, complete sequence
KT357796	1799	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1104/KSA/2014 spike protein gene, partial cds
KT357802	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_111/KSA/2014 spike protein gene, complete cds
KT357799	1756	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1116/KSA/2014 spike protein gene, partial cds
KT357804	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1147/KSA/2014 spike protein gene, complete cds
KT357806	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1158/KSA/2014 spike protein gene, complete cds
KT357807	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1162/KSA/2014 spike protein gene, complete cds
KT357808	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1164/KSA/2014 spike protein gene, complete cds
KT357798	287	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1168/KSA/2014 spike protein gene, partial cds
KT357809	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1172/KSA/2014 spike protein gene, complete cds
KT357810	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1175/KSA/2014 spike protein gene, complete cds
KT357800	290	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1182/KSA/2014 spike protein gene, partial cds
KJ156946	19140	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/06	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_11a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156911	9161	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2013/08/06	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_11b_2013 ORF1ab gene, partial cds; S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, and M protein genes, complete cds; N protein gene, partial cds; and ORF8b-like gene, complete sequence
KT357801	3269	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1251/KSA/2014 spike protein gene, partial cds
KJ156926	18570	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/08	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_12a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156901	9863	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/08	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_12b_2013 ORF1ab gene, partial cds; and S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds
KT357811	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1337/KSA/2014 spike protein gene, complete cds
KT357812	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_1340/KSA/2014 spike protein gene, complete cds
KJ156888	18853	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_13a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156873	10327	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_13b_2013 ORF1ab gene, partial cds; S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, and M protein genes, complete cds; N protein gene, partial cds; and ORF8b gene, complete cds
KJ156934	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/08/15	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_14_2013, complete genome
KJ156914	5990	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_15a_2013 ORF1a gene, partial cds
KJ156877	2110	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_15b_2013 ORF1a gene, partial cds
KJ156878	1961	orf1ab-S	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_15c_2013 ORF1ab and S protein genes, partial cds
KJ156859	1326	S	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_15d_2013 S protein gene, partial cds
KJ156953	1671	N-orf8b	Homo sapiens	Saudi Arabia		2013/08/19	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_15f_2013 N protein and ORF8b genes, complete cds
KJ156918	18515	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/08/26	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_17a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156920	7144	orf1ab-S	Homo sapiens	Saudi Arabia		2013/08/26	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_17b_2013 ORF1ab gene, partial cds; and S protein gene, complete cds
KJ156865	4303	orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2013/08/26	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_17c_2013 ORF4a, ORF4b, ORF5, E protein, M protein, and N protein genes, complete cds; and ORF8b-like gene, complete sequence
KF600612	30063	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2012/10/23	2013/09/17	Middle East respiratory syndrome coronavirus isolate Riyadh_1_2012, complete genome
KM027277	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_042/KSA/2014 spike protein (S) gene, complete cds
KM027278	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_057/KSA/2014 spike protein (S) gene, complete cds
KM027279	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_059/KSA/2014 spike protein (S) gene, complete cds
KM027280	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_150/KSA/2014 spike protein (S) gene, complete cds
KM027281	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_158/KSA/2014 spike protein (S) gene, complete cds
KM027282	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_166/KSA/2014 spike protein (S) gene, complete cds
KM027283	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_167/KSA/2014 spike protein (S) gene, complete cds
KM027284	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_345/KSA/2014 spike protein (S) gene, complete cds
KM027285	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_349/KSA/2014 spike protein (S) gene, complete cds
KM027286	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_351/KSA/2014 spike protein (S) gene, complete cds
KM027287	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_359/KSA/2014 spike protein (S) gene, complete cds
KM027288	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_551/KSA/2014 spike protein (S) gene, complete cds
KM027289	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_564/KSA/2014 spike protein (S) gene, complete cds
KM027262	29896	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2014/04/22	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_683/KSA/2014, complete genome
KM027290	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_686/KSA/2014 spike protein (S) gene, complete cds
KM027291	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_693/KSA/2014 spike protein (S) gene, complete cds
KM027292	4062	S	Homo sapiens	Saudi Arabia		2014	2014/11/12	Middle East respiratory syndrome coronavirus isolate Riyadh_2014KSA_695/KSA/2014 spike protein (S) gene, complete cds
KF600652	30082	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2012/10/30	2013/09/17	Middle East respiratory syndrome coronavirus isolate Riyadh_2_2012, complete genome
KT357794	2738	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_378/KSA/2014 spike protein gene, partial cds
KF600613	30064	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/02/05	2013/09/17	Middle East respiratory syndrome coronavirus isolate Riyadh_3_2013, complete genome
KJ156952	30054	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/03/01	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_4_2013, complete genome
KT357795	697	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_578/KSA/2014 spike protein gene, partial cds
KJ156944	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_5_2013, complete genome
KT357803	4062	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_688/KSA/2014 spike protein gene, complete cds
KT357797	2505	S	Homo sapiens	Saudi Arabia		2014	2016/04/12	Middle East respiratory syndrome coronavirus isolate Riyadh_692/KSA/2014 spike protein gene, partial cds
KJ156879	2500	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_6a_2013 ORF1a gene, partial cds
KJ156947	8258	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_6b_2013 ORF1a gene, partial cds
KJ156890	2251	orf1ab	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_6c_2013 ORF1ab gene, partial cds
KJ156908	4861	orf1ab-S	Homo sapiens	Saudi Arabia		2013/07/02	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_6d_2013 ORF1ab and S protein genes, partial cds
KJ156937	19266	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/15	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_7a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156905	10013	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/07/15	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_7b_2013 ORF1ab gene, partial cds; S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, and M protein genes, complete cds; N protein gene, partial cds; and ORF8b gene, complete cds
KJ156880	2117	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/07/17	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_8a_2013 ORF1a gene, partial cds
KJ156942	27630	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia		2013/07/17	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_8b_2013, partial genome
KJ156869	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/07/17	2014/02/06	Middle East respiratory syndrome coronavirus isolate Riyadh_9_2013, complete genome
KJ156949	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/12	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_1_2013, complete genome
KJ156896	18266	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/12	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_2a_2013 ORF1ab gene, partial cds; and ORF1a gene, complete cds
KJ156876	9861	orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/12	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_2b_2013 ORF1ab gene, partial cds; and S protein, ORF3, ORF4a, ORF4b, ORF5, E protein, M protein, N protein, and ORF8b genes, complete cds
KJ156938	2442	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3a_2013 ORF1a gene, partial cds
KJ156897	2258	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3b_2013 ORF1a gene, partial cds
KJ156922	6325	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3c_2013 ORF1ab and ORF1a genes, partial cds
KJ156868	2146	orf1ab-S	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3d_2013 ORF1ab and S protein genes, partial cds
KJ156921	1258	S	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3e_2013 S protein gene, partial cds
KJ156906	2024	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_3g_2013 M protein gene, partial cds; and N protein and ORF8b genes, complete cds
KJ156886	6110	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_4a_2013 ORF1a gene, partial cds
KJ156871	2043	M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/13	2014/02/06	Middle East respiratory syndrome coronavirus isolate Taif_4b_2013 M protein gene, partial cds; and N protein and ORF8b genes, complete cds
KJ156881	30055	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Homo sapiens	Saudi Arabia		2013/06/12	2014/02/06	Middle East respiratory syndrome coronavirus isolate Wadi-Ad-Dawasir_1_2013, complete genome
KT368827	30114	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/401/2014, complete genome
KT368828	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D100/2014, complete genome
KT368829	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D33(b)/2014, complete genome
KT368830	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D34/2014, complete genome
KT368831	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D35/2014, complete genome
KT368832	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D36/2014, complete genome
KT368833	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D38(b)/2014, complete genome
KT368834	30113	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D40/2014, complete genome
KT368835	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D42/2014, complete genome
KT368836	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D43(b)/2014, complete genome
KT368837	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D45/2014, complete genome
KT368838	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D46(b)/2014, complete genome
KT368839	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D47/2014, complete genome
KT368840	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D48/2014, complete genome
KT368841	30110	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D49/2014, complete genome
KT368842	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D50(b)/2014, complete genome
KT368843	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D88/2014, complete genome
KT368844	30109	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D90/2014, complete genome
KT368845	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/12	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/D92/2014, complete genome
KT368824	30115	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/05	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/F13A/2014, complete genome
KT368858	30113	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd1(b)/2015, complete genome
KT368866	30114	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/02	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd175/2015, complete genome
KT368867	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/02	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd199/2015, complete genome
KT368859	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd4/2015, complete genome
KT368860	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd6(b)/2015, complete genome
KT368861	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd7/2015, complete genome
